x,y
99.8,36.733
99.793,36.735
99.79,36.736
99.804,36.73
99.832,36.699
99.805,36.729
99.72,37.132
99.606,37.122
99.723,37.13
99.746,37.115
99.728,37.135
99.728,37.135
99.728,37.135
99.728,37.135
99.728,37.135
99.725,37.134
99.725,37.13
99.726,37.129
99.721,37.131
99.742,37.075
99.673,37.168
99.714,37.123
99.725,37.133
99.725,37.133
99.728,37.135
99.735,37.138
99.73,37.131
99.731,37.13
99.728,37.135
99.735,37.138
99.654,37.155
99.632,37.219
99.603,37.179
99.734,37.133
99.737,37.129
99.736,37.133
99.736,37.133
99.736,37.133
99.736,37.133
99.734,37.133
99.766,37.106
99.736,37.133
99.736,37.133
99.736,37.133
99.732,37.129
99.764,37.141
99.736,37.133
99.736,37.133
99.736,37.133
99.736,37.133
99.622,37.107
99.736,37.133
99.732,37.134
99.736,37.133
99.736,37.133
99.637,37.067
99.736,37.133
99.736,37.133
99.736,37.133
99.736,37.129
99.737,37.133
99.737,37.133
99.734,37.133
99.735,37.133
99.737,37.131
99.73,37.125
99.736,37.133
99.74,37.113
99.735,37.13
99.736,37.129
99.76,37.141
99.748,37.133
99.727,37.135
99.737,37.133
99.736,37.133
99.843,37.124
99.77,37.111
99.736,37.133
99.873,36.978
99.671,36.963
99.658,36.967
99.736,37.133
99.736,37.133
99.898,37.159
99.722,37.098
99.736,37.133
99.727,37.135
99.728,37.136
99.736,37.133
99.936,37.117
99.735,37.133
99.733,37.133
99.736,37.133
99.737,37.132
99.737,37.132
99.772,37.136
99.727,37.135
99.736,37.132
99.736,37.133
99.737,37.132
99.735,37.134
99.735,37.133
99.745,37.13
99.736,37.133
99.728,37.135
99.737,37.133
99.737,37.132
99.737,37.133
99.728,37.135
99.737,37.132
99.736,37.133
99.727,37.135
99.736,37.132
99.736,37.131
99.737,37.132
99.736,37.13
99.735,37.129
99.734,37.134
99.734,37.134
99.815,37.117
99.737,37.131
99.737,37.131
99.736,37.132
99.736,37.13
99.737,37.131
99.735,37.13
99.737,37.132
99.737,37.131
99.736,37.13
99.737,37.132
99.736,37.13
99.736,37.129
99.735,37.13
99.736,37.13
99.656,37.14
99.9,37.143
99.727,37.133
99.737,37.128
99.737,37.132
99.736,37.133
