x,y
99.291,37.334
99.276,37.271
99.264,37.276
99.275,37.271
100.625,37.047
99.505,36.933
99.26,37.319
98.876,37.099
99.24,37.324
99.279,37.271
99.277,37.27
99.278,37.271
99.274,37.273
99.269,37.274
99.28,37.271
99.91,37.229
99.269,37.25
99.279,37.27
99.278,37.269
99.227,37.346
99.239,37.324
99.225,37.349
99.219,37.417
99.24,37.325
99.213,37.364
99.213,37.365
100.278,37.189
99.12,37.316
99.25,37.308
99.241,37.314
99.242,37.314
99.239,37.325
98.789,37.378
99.066,37.485
99.353,37.378
99.164,37.192
100.503,37.149
99.152,37.201
99.268,37.263
99.215,37.366
99.208,37.364
99.213,37.363
99.131,37.323
99.288,37.274
99.222,37.314
98.913,37.315
99.238,37.328
99.24,37.323
99.214,37.364
99.241,37.326
99.24,37.326
99.241,37.327
99.896,37.461
99.24,37.327
99.202,37.385
99.144,37.248
98.972,37.352
99.198,37.403
99.208,37.373
100.236,37.532
100.602,37.014
99.453,37.416
99.762,37.068
99.297,37.29
99.206,37.304
99.277,37.271
99.19,37.31
99.239,37.327
99.239,37.326
99.146,37.124
99.191,37.339
99.19,37.309
99.244,37.326
99.224,37.351
99.129,37.26
99.229,37.344
99.189,37.31
99.833,37.14
99.145,37.337
99.225,37.351
99.847,37.318
99.141,37.326
99.188,37.31
99.268,37.264
99.27,37.264
99.396,37.324
99.232,37.334
99.231,37.334
99.24,37.343
99.161,37.295
99.189,37.309
99.244,37.316
99.344,37.165
99.309,37.19
99.193,37.306
99.243,37.316
99.186,37.288
99.186,37.289
99.033,37.389
99.26,37.244
99.185,37.289
99.243,37.315
99.182,37.287
99.186,37.29
99.226,37.345
99.241,37.324
99.311,37.319
99.207,37.313
99.254,37.195
99.256,37.366
99.264,37.381
99.241,37.31
99.321,37.316
99.159,37.315
99.789,36.754
99.803,36.732
99.802,36.733
100.179,36.632
100.207,36.619
100.203,36.648
100.236,36.632
100.203,36.629
100.09,36.631
100.269,36.645
100.121,36.623
100.088,36.632
100.203,36.647
100.202,36.647
100.165,36.26
100.199,36.648
100.209,36.615
100.195,36.647
98.808,37.005
99.835,37.412
100.195,36.646
100.199,36.646
100.211,36.618
100.201,36.645
100.212,36.62
100.2,36.646
100.2,36.644
100.198,36.645
100.196,36.646
100.113,36.656
100.319,36.653
99.79,36.762
99.794,36.743
99.79,36.763
99.795,36.743
99.788,36.765
99.789,36.758
99.789,36.765
99.841,36.751
99.814,36.726
99.791,36.748
99.792,36.745
99.788,36.756
99.789,36.762
99.832,36.738
99.817,36.723
99.816,36.724
99.811,36.729
99.816,36.714
99.807,36.727
99.806,36.725
99.804,36.73
99.87,36.744
99.685,36.706
99.805,36.717
99.801,36.733
99.878,37.005
99.813,36.726
99.802,36.732
99.897,36.71
99.81,36.727
100.061,36.698
99.813,36.725
99.815,36.725
99.809,36.726
99.803,36.731
99.804,36.731
99.801,36.732
99.804,36.729
99.79,36.76
99.845,36.835
99.795,36.76
99.789,36.763
99.79,36.766
99.791,36.766
99.764,36.763
99.82,36.761
99.912,36.774
99.79,36.764
99.784,36.779
99.802,36.784
99.794,36.768
99.802,36.785
99.798,36.774
99.766,36.77
99.801,36.781
99.801,36.782
99.791,36.765
99.779,36.763
99.787,36.754
99.788,36.757
99.802,36.787
99.801,36.789
99.802,36.794
100.376,36.756
99.802,36.792
99.803,36.795
99.803,36.796
99.802,36.795
99.774,36.795
99.802,36.798
99.801,36.804
99.86,36.774
99.839,36.803
99.8,36.791
99.802,36.789
99.8,36.805
99.824,36.786
99.801,36.784
100.431,36.767
99.801,36.783
99.801,36.786
99.8,36.782
